"Latest: Time (s)","Latest: Temperature (°C)"
0,23.327186606
0.5,23.3344528835
1,23.3417190396
1.5,23.3925787662
2,23.4928282093
2.5,23.8370046973
3,24.0198941454
3.5,24.5073444134
4,24.5406998968
4.5,24.4652855927
5,24.3652056655
5.5,24.2984783579
6,24.2593094554
6.5,24.2331956374
7,24.2215891785
7.5,24.2259416237
8,24.2375480089
8.5,24.2593094554
9,24.2781688272
9.5,24.2883236649
10,24.3115341805
10.5,24.3492496854
11,24.3652056655
11.5,24.4000175408
12,24.4319270418
12.5,24.4594842056
13,24.4870404244
13.5,24.5290981388
14,24.5581022393
14.5,24.6016065794
15,24.6393086357
15.5,24.6755591687
16,24.7190580026
16.5,24.7683543914
17,24.8103994692
17.5,24.8596916368
18,24.9205790478
18.5,24.9742154452
19,25.0249505473
19.5,25.0872797232
20,25.1641005458
20.5,25.2206268278
21,25.2945432445
21.5,25.3684570958
22,25.4525133418
22.5,25.5264229603
23,25.603229521
23.5,25.6858315981
24,25.7626363614
24.5,25.8481357572
25,25.9365337551
25.5,26.0278310526
26,26.1611573567
26.5,26.275648638
27,26.3713038679
27.5,26.4640649872
28,26.5611798671
28.5,26.6698983445
29,26.7771764106
29.5,26.888814471
30,27.0120656829
30.5,27.1309827086
31,27.2528179117
31.5,27.3761234971
32,27.5023529537
32.5,27.6329610956
33,27.7621459377
33.5,27.9204017473
34,28.0467503891
34.5,28.1992835649
35,28.3446001861
35.5,28.4972349948
36,28.6731990726
36.5,28.8274152624
37,28.975873254
37.5,29.1928525636
38,29.350215532
38.5,29.5149485238
39,29.7031175004
39.5,29.8709694347
40,30.0316196261
40.5,30.2040623152
41,30.3663822259
41.5,30.5346649699
42,30.7089271132
42.5,30.8818561382
43,31.0505188922
43.5,31.2031630205
44,31.3603271762
44.5,31.6632513772
45,32.1067385883
45.5,32.7599842297
46,33.3489490859
46.5,33.8163998178
47,34.1791998573
47.5,34.4305840335
48,34.5924376087
48.5,34.7304703684
49,34.8476135572
49.5,34.9528335321
50,35.1319092224
50.5,36.1117231265
51,37.3747374589
51.5,38.4467749621
52,38.8047244239
52.5,38.8437155262
53,38.7595154633
53.5,38.6193525336
54,38.5213640722
54.5,38.4638630718
55,38.4327960875
55.5,38.4296899524
56,38.4467749621
56.5,38.420372161
57,38.3706927933
57.5,38.3381048735
58,38.3241420484
58.5,38.3024261756
59,38.2962225511
59.5,38.3039771449
60,38.3365533471
60.5,38.3877671315
61,38.4529884613
61.5,38.5213640722
62,38.5711231375
62.5,38.6318028849
63,38.71744429
63.5,38.7813377057
64,38.8827232269
64.5,38.9685988816
65,39.0873972409
65.5,39.2157502846
66,39.3427192509
66.5,39.4887231452
67,39.6365440723
67.5,39.781463486
68,39.9234685932
68.5,40.0878579792
69,40.2145289327
69.5,40.3477395028
70,40.492291876
70.5,40.6132110853
71,40.716770465
71.5,40.767801878
72,40.8220578976
72.5,41.071465993
73,41.4213102049
73.5,41.7436476235
74,42.0981630427
74.5,42.4478287168
75,42.7385698144
75.5,42.999256994
76,43.2081562982
76.5,43.3928900596
77,43.5731390374
77.5,43.728955039
78,43.8917728385
78.5,44.0916645142
79,44.2921399623
79.5,44.4881738792
80,44.7521271626
80.5,44.951201699
81,45.1474879151
81.5,45.354562672
82,45.5299026308
82.5,45.721105565
83,45.902592431
83.5,46.0708439398
84,46.2705796372
84.5,46.4380895682
85,46.6355344575
85.5,46.8806182822
86,47.1301836027
86.5,47.4106391023
87,47.6236051064
87.5,47.8302562362
88,48.608588033
88.5,49.5668978068
89,50.3196324428
89.5,50.7483274814
90,50.9517974648
90.5,50.9742449432
91,50.9461870617
91.5,51.0622548317
92,51.2669222678
92.5,51.4610496637
93,51.6369434896
93.5,51.6862232423
94,51.6350490354
94.5,51.5271775238
95,51.436508925
95.5,51.4176391696
96,51.4459463245
96.5,51.4799349013
97,51.5555433872
97.5,51.674846895
98,51.8058238383
98.5,52.0191237624
99,52.1720167483
99.5,52.2927376314
100,52.3887486779
100.5,52.4887899881
101,52.5408112624
101.5,52.6276305689
102,52.850172831
102.5,53.1224115916
103,53.4255358441
103.5,53.7383936158
104,53.9797845401
104.5,54.1586154447
105,54.3221158512
105.5,54.4040701242
106,54.4921734753
106.5,54.534278685
